	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen
	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	Male	Male	Male	Male	Female	Female	Female	Female	Male	Male	Male	Male	Female	Female	Female	Female
	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu
VARIABLES		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum
																								
male	0.344***	0.362***	0.345***	0.361***	0.276***	0.283***	0.279***	0.287***																
	(5.63e-11)	(0)	(0)	(0)	(0)	(0)	(0)	(0)																
exp	0.0520*	0.0742*	0.0521*	0.0731*	-0.00433	0.0124	-0.0114	0.00846	0.0848**	0.0891*	0.0837**	0.0839*	-0.00354	0.103	-0.00240	0.100	0.000266	0.0390	-0.00205	0.0392	0.00132	-0.00347	-0.0144	-0.0159
	(0.0942)	(0.0756)	(0.0922)	(0.0775)	(0.847)	(0.635)	(0.609)	(0.744)	(0.0216)	(0.0629)	(0.0212)	(0.0736)	(0.960)	(0.226)	(0.972)	(0.236)	(0.993)	(0.247)	(0.942)	(0.243)	(0.971)	(0.934)	(0.689)	(0.701)
expsqr	-0.000965	-0.00146	-0.000972	-0.00143	9.45e-05	-0.000331	0.000229	-0.000279	-0.00227**	-0.00216*	-0.00221**	-0.00198	0.00126	-0.00150	0.00118	-0.00144	-8.08e-05	-0.000944	-5.78e-05	-0.000984	-0.000119	-0.000126	0.000225	0.000125
	(0.244)	(0.194)	(0.238)	(0.197)	(0.880)	(0.634)	(0.713)	(0.687)	(0.0223)	(0.0990)	(0.0230)	(0.122)	(0.529)	(0.510)	(0.547)	(0.520)	(0.918)	(0.287)	(0.941)	(0.265)	(0.910)	(0.912)	(0.829)	(0.913)
highvocedu	-0.0243	-0.0835			0.117	0.150			-0.183	-0.186			0.0811	0.0149			0.0188	0.0369			0.347	0.363		
	(0.908)	(0.690)			(0.308)	(0.189)			(0.502)	(0.491)			(0.811)	(0.965)			(0.887)	(0.781)			(0.143)	(0.127)		
highgenedu	-0.0136	-0.0109			0.104	-0.00994			-0.129	-0.0440			0.349	0.264			-0.0547	-0.142			0.625	0.468		
	(0.970)	(0.976)			(0.682)	(0.969)			(0.767)	(0.920)			(0.588)	(0.681)			(0.846)	(0.615)			(0.306)	(0.441)		
adultedu	0.0541	-0.0112			-0.0350	-0.0182			-0.154	-0.340			0.304	0.212			-0.152	-0.109			0.306	0.319		
	(0.832)	(0.965)			(0.811)	(0.901)			(0.660)	(0.322)			(0.418)	(0.573)			(0.376)	(0.530)			(0.284)	(0.258)		
highvocafter79	0.133	0.164			0.0706	0.0407			0.342	0.322			-0.0833	0.0196			0.166	0.127			-0.139	-0.107		
	(0.567)	(0.479)			(0.575)	(0.746)			(0.254)	(0.274)			(0.827)	(0.959)			(0.262)	(0.393)			(0.581)	(0.674)		
highgenafter79	0.145	0.194			0.204	0.305			0.316	0.329			-0.295	-0.238			0.326	0.379			-0.252	-0.0352		
	(0.736)	(0.654)			(0.433)	(0.241)			(0.552)	(0.535)			(0.692)	(0.750)			(0.263)	(0.193)			(0.684)	(0.954)		
adulteduafter79	0.0260	0.140			0.0754	0.0795			0.677	0.998**			-0.519	-0.392			0.172	0.153			-0.239	-0.207		
	(0.932)	(0.644)			(0.671)	(0.653)			(0.128)	(0.0225)			(0.234)	(0.378)			(0.439)	(0.490)			(0.455)	(0.516)		
provincedum2		-0.211		-0.214		-0.305**		-0.340**		-0.189		-0.142		-0.623		-0.594		-0.393*		-0.423**		-0.188		-0.234
		(0.393)		(0.383)		(0.0417)		(0.0230)		(0.531)		(0.635)		(0.209)		(0.225)		(0.0703)		(0.0495)		(0.381)		(0.274)
provincedum3		0.0829		0.0790		-0.410**		-0.424**		0.0422		0.0707		0.763		0.791		-0.230		-0.250		-0.897***		-0.860***
		(0.771)		(0.779)		(0.0141)		(0.0111)		(0.893)		(0.818)		(0.348)		(0.326)		(0.317)		(0.273)		(0.000824)		(0.00133)
provincedum4		0.220		0.221		-0.463**		-0.473**		0.568*		0.568*		-0.617		-0.659		-0.363		-0.367		-0.555*		-0.594**
		(0.456)		(0.450)		(0.0204)		(0.0178)		(0.0969)		(0.0962)		(0.303)		(0.263)		(0.199)		(0.192)		(0.0517)		(0.0375)
provincedum5		0.259		0.251		-0.120		-0.137		0.485**		0.466**		-0.311		-0.271		-0.0293		-0.0456		-0.309*		-0.318*
